date,open,high,low,close
1717041600,0.00028031,0.00028101,0.00027130,0.00027174
1717045200,0.00027174,0.00027290,0.00026140,0.00026429
1717048800,0.00026429,0.00026434,0.00024379,0.00024625
1717052400,0.00024624,0.00025020,0.00024000,0.00024113
1717056000,0.00024113,0.00024810,0.00024000,0.00024786
1717059600,0.00024785,0.00024786,0.00024318,0.00024351
1717063200,0.00024352,0.00024723,0.00024095,0.00024624
1717066800,0.00024624,0.00024788,0.00024433,0.00024526
1717070400,0.00024526,0.00025549,0.00024379,0.00025438
1717074000,0.00025434,0.00025700,0.00025154,0.00025368
1717077600,0.00025368,0.00025604,0.00025153,0.00025265
1717081200,0.00025262,0.00025341,0.00024792,0.00025046
1717084800,0.00025041,0.00025500,0.00025000,0.00025493
1717088400,0.00025493,0.00026062,0.00025207,0.00025843
1717092000,0.00025843,0.00025989,0.00025527,0.00025766
1717095600,0.00025766,0.00026183,0.00025248,0.00025401
1717099200,0.00025404,0.00025404,0.00024653,0.00024830
1717102800,0.00024830,0.00025137,0.00024677,0.00025031
1717106400,0.00025031,0.00025049,0.00024823,0.00024905
1717110000,0.00024904,0.00025043,0.00024757,0.00024817
1717113600,0.00024816,0.00025118,0.00024615,0.00025056
1717117200,0.00025057,0.00025673,0.00024990,0.00025318
1717120800,0.00025320,0.00025550,0.00025111,0.00025281
1717124400,0.00025286,0.00025379,0.00025012,0.00025151
1717128000,0.00025151,0.00025502,0.00025124,0.00025202
1717131600,0.00025203,0.00025280,0.00024432,0.00024660
1717135200,0.00024660,0.00025319,0.00024659,0.00024894
1717138800,0.00024895,0.00025379,0.00024704,0.00025354
1717142400,0.00025353,0.00025600,0.00025176,0.00025176
1717146000,0.00025176,0.00025186,0.00024692,0.00025122
1717149600,0.00025123,0.00025536,0.00025054,0.00025313
1717153200,0.00025310,0.00025577,0.00025205,0.00025321
1717156800,0.00025321,0.00026412,0.00025151,0.00025994
1717160400,0.00025993,0.00026861,0.00025986,0.00026241
1717164000,0.00026240,0.00026450,0.00025548,0.00025915
1717167600,0.00025917,0.00026125,0.00025028,0.00025056
1717171200,0.00025059,0.00025266,0.00024360,0.00025239
1717174800,0.00025239,0.00025390,0.00024990,0.00025120
1717178400,0.00025118,0.00025214,0.00024924,0.00025193
1717182000,0.00025194,0.00025500,0.00025148,0.00025325
1717185600,0.00025329,0.00025999,0.00025303,0.00025845
1717189200,0.00025845,0.00026095,0.00025704,0.00025981
1717192800,0.00025981,0.00026335,0.00025790,0.00025859
1717196400,0.00025859,0.00025879,0.00025446,0.00025486
1717200000,0.00025485,0.00025629,0.00025154,0.00025242
1717203600,0.00025242,0.00025367,0.00025060,0.00025309
1717207200,0.00025308,0.00025629,0.00025197,0.00025471
1717210800,0.00025468,0.00025634,0.00025301,0.00025432
1717214400,0.00025431,0.00025833,0.00025120,0.00025640
1717218000,0.00025640,0.00025686,0.00025289,0.00025306
1717221600,0.00025307,0.00025507,0.00025258,0.00025345
1717225200,0.00025346,0.00025740,0.00025313,0.00025711
1717228800,0.00025705,0.00026320,0.00025551,0.00026300
1717232400,0.00026297,0.00026314,0.00025778,0.00025981
1717236000,0.00025981,0.00026158,0.00025573,0.00025609
1717239600,0.00025611,0.00025705,0.00025385,0.00025495
1717243200,0.00025494,0.00026087,0.00025415,0.00025917
1717246800,0.00025917,0.00026041,0.00025739,0.00025937
1717250400,0.00025937,0.00026150,0.00025882,0.00026026
1717254000,0.00026027,0.00026206,0.00025830,0.00025881
1717257600,0.00025882,0.00026121,0.00025725,0.00025816
1717261200,0.00025818,0.00025998,0.00025593,0.00025762
1717264800,0.00025762,0.00025799,0.00025526,0.00025698
1717268400,0.00025698,0.00025774,0.00025488,0.00025607
1717272000,0.00025605,0.00026000,0.00025569,0.00025823
1717275600,0.00025822,0.00025926,0.00025511,0.00025515
1717279200,0.00025515,0.00025736,0.00025510,0.00025613
1717282800,0.00025614,0.00025633,0.00025196,0.00025250
1717286400,0.00025249,0.00025551,0.00025246,0.00025476
1717290000,0.00025475,0.00025769,0.00025264,0.00025347
1717293600,0.00025348,0.00025378,0.00024907,0.00025059
1717297200,0.00025059,0.00025162,0.00024800,0.00025055
1717300800,0.00025055,0.00025089,0.00024891,0.00025000
1717304400,0.00025002,0.00025091,0.00024683,0.00024846
1717308000,0.00024846,0.00025036,0.00024734,0.00024954
1717311600,0.00024957,0.00024968,0.00024501,0.00024688
1717315200,0.00024689,0.00024969,0.00024678,0.00024776
1717318800,0.00024775,0.00024793,0.00024418,0.00024611
1717322400,0.00024611,0.00024764,0.00024422,0.00024621
1717326000,0.00024621,0.00025180,0.00024481,0.00025041
1717329600,0.00025041,0.00025188,0.00024851,0.00025003
1717333200,0.00025004,0.00025193,0.00024841,0.00024943
1717336800,0.00024944,0.00025116,0.00024826,0.00025041
1717340400,0.00025041,0.00025050,0.00024732,0.00024804
1717344000,0.00024806,0.00024878,0.00024488,0.00024549
1717347600,0.00024548,0.00024556,0.00023713,0.00023741
1717351200,0.00023740,0.00024024,0.00023411,0.00023963
1717354800,0.00023962,0.00024080,0.00023701,0.00023968
1717358400,0.00023966,0.00024094,0.00023716,0.00024090
1717362000,0.00024090,0.00024195,0.00023993,0.00024098
1717365600,0.00024098,0.00024284,0.00023993,0.00024176
1717369200,0.00024180,0.00024485,0.00024112,0.00024382
1717372800,0.00024382,0.00024597,0.00024093,0.00024440
1717376400,0.00024439,0.00025645,0.00024299,0.00025478
1717380000,0.00025478,0.00025760,0.00025292,0.00025397
1717383600,0.00025397,0.00025484,0.00024836,0.00024933
1717387200,0.00024934,0.00024997,0.00024263,0.00024558
1717390800,0.00024557,0.00025666,0.00024554,0.00025367
1717394400,0.00025366,0.00025760,0.00024981,0.00025588
1717398000,0.00025587,0.00027098,0.00025548,0.00027062
1717401600,0.00027062,0.00028500,0.00026631,0.00027849
1717405200,0.00027848,0.00028346,0.00027442,0.00027830
1717408800,0.00027831,0.00028624,0.00027815,0.00028088
1717412400,0.00028088,0.00028423,0.00027227,0.00027505
1717416000,0.00027506,0.00028180,0.00027486,0.00027780
1717419600,0.00027781,0.00028094,0.00027565,0.00027735
1717423200,0.00027736,0.00027949,0.00026682,0.00026875
1717426800,0.00026874,0.00027704,0.00026802,0.00027487
1717430400,0.00027495,0.00027543,0.00026893,0.00027086
1717434000,0.00027086,0.00028050,0.00027010,0.00027892
1717437600,0.00027893,0.00028222,0.00027678,0.00027869
1717441200,0.00027870,0.00027944,0.00027534,0.00027746
1717444800,0.00027747,0.00027930,0.00027512,0.00027560
1717448400,0.00027558,0.00027686,0.00027190,0.00027409
1717452000,0.00027408,0.00027408,0.00026956,0.00027066
1717455600,0.00027066,0.00027216,0.00026720,0.00026809
1717459200,0.00026808,0.00027222,0.00026445,0.00027003
1717462800,0.00027002,0.00027408,0.00026832,0.00027159
1717466400,0.00027159,0.00027159,0.00026556,0.00026752
1717470000,0.00026752,0.00027198,0.00026610,0.00027073
1717473600,0.00027074,0.00027150,0.00026461,0.00026511
1717477200,0.00026512,0.00026747,0.00026298,0.00026477
1717480800,0.00026478,0.00026500,0.00026134,0.00026220
1717484400,0.00026219,0.00027013,0.00025801,0.00026969
1717488000,0.00026970,0.00027343,0.00025929,0.00026222
1717491600,0.00026222,0.00026594,0.00026148,0.00026362
1717495200,0.00026361,0.00026810,0.00026347,0.00026737
1717498800,0.00026737,0.00026816,0.00026413,0.00026516
1717502400,0.00026517,0.00026702,0.00026390,0.00026549
1717506000,0.00026549,0.00027277,0.00026517,0.00027084
1717509600,0.00027087,0.00027505,0.00027025,0.00027167
1717513200,0.00027168,0.00027629,0.00026841,0.00027552
